id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
463	c180	-0.709	0.2441	4	351	640	34	2015.9118
464	c181	-0.693	0.2311	4	534	1160	66	2015.9545
465	c182	-0.5626	0.2554	4	398	754	46	2015.8043
466	c183	-0.5922	0.1896	4	224	348	20	2014.05
467	ca btdc	1.3645	-0.0603	3	183	356	14	2018
468	ca2	-0.002	0.4444	1	147	171	11	2016.3636
469	cad	1.0691	-0.3664	3	189	265	12	2015.1667
470	calcination	-0.0802	0.9356	1	482	1135	60	2016.5167
471	calcination temperature	-0.0065	0.9907	1	270	575	32	2015.6562
472	calcium	-0.0075	0.3886	1	344	504	33	2015.4848
473	calcium oxide	-0.0472	0.9103	1	345	815	47	2016.9574
474	calibration	0.6426	-0.041	3	339	528	41	2015.8049
475	calibration model	0.247	0.1842	1	119	208	16	2013.75
476	california	-0.1089	-0.6973	2	264	388	27	2014.2222
477	calophyllum	0.6339	0.3945	1	228	367	19	2017.1579
478	calophyllum inophyllum biodiesel	1.0241	0.0636	3	178	288	15	2018
479	calophyllum inophyllum oil	0.046	0.6776	1	157	211	13	2017.3846
480	camelina	-0.4964	-0.3907	2	601	1362	95	2015.8105
481	camelina sativa	-0.5072	-0.261	2	359	654	46	2015.6304
482	camelina sativa l	-0.5322	-0.5339	2	179	263	18	2015.3333
483	camelina sativa l crantz	-0.5015	-0.3572	2	113	158	12	2015.5833
484	canada	-0.2497	-0.5867	2	388	573	38	2014.1316
485	canola biodiesel	0.5772	-0.288	3	138	176	13	2015.6154
486	canola methyl ester	0.8966	-0.0045	3	110	164	12	2011.6667
487	cao	-0.0506	0.8754	1	596	1734	97	2016.8144
488	cao catalyst	-0.1249	0.8752	1	259	501	25	2017.12
489	cap	-0.4876	-0.5212	2	221	278	17	2017.5294
490	capital	-0.561	-0.445	2	484	881	60	2014.8833
491	capital cost	-0.6099	-0.4104	2	473	950	63	2015.6825
492	capital investment	-0.5237	-0.2513	2	393	680	44	2015.2955
493	capture	-0.3381	-0.4551	2	289	386	29	2016.0345
494	car	-0.1305	-0.6541	2	614	1161	85	2013.1294
495	carbohydrate	-0.6075	0.2416	4	959	2462	164	2016.5
496	carbohydrate content	-0.7961	0.1025	4	230	342	22	2018.0909
497	carbon capture	-0.3002	-0.6467	2	340	556	37	2016.7297
498	carbon credit	-0.5409	-0.689	2	204	272	16	2016.5
499	carbon deposit	1.036	0.1095	3	173	278	15	2012.6667
500	carbon efficiency	-0.4049	0.1369	1	199	250	16	2017.1875
501	carbon emission	-0.1419	-0.6668	2	678	1252	87	2015.3103
502	carbon flux	-0.8276	0.0667	4	139	188	12	2016
503	carbon footprint	-0.2518	-0.5532	2	541	916	63	2016.3175
504	carbon intensity	-0.2215	-0.6993	2	255	394	27	2016.2222
505	carbon monoxide	1.0499	-0.2411	3	1489	9168	479	2015.6075
506	carbon monoxide emission	1.3705	-0.2675	3	417	1135	58	2016.6897
507	carbon nanotube	0.4416	0.4935	1	326	553	34	2017.4118
508	carbon number	-0.0444	0.5815	1	240	334	26	2016.5385
509	carbon price	-0.5721	-0.7866	2	150	208	13	2016.3846
510	carbon residue	0.1435	0.3838	1	341	530	41	2014.3659
511	carbon sequestration	-0.561	-0.6182	2	396	602	34	2014.0882
512	carbon source	-0.7747	0.1906	4	839	2277	153	2015.5817
513	carbon steel	0.0627	0.3133	1	85	122	14	2015.1429
514	carbon stock	-0.5544	-0.8925	2	173	291	20	2013.1
515	carbon substrate	-0.9141	0.3907	4	115	169	11	2015.1818
516	carbon yield	-0.2952	0.4197	1	149	188	14	2017.1429
517	carbonaceous aerosol	0.1289	-0.4985	2	101	177	15	2012.9333
518	carbonization	-0.2563	0.4437	1	332	496	30	2017.5333
519	carbonyl	0.4517	0.0853	3	415	733	45	2015.0889
520	carbonyl compound	0.5685	0.0823	3	326	544	34	2013.8235
